,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Cost Matrix(Risk)
150,no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= <500 DM,>=7 years,2,male:single,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,yes,yes,Good Risk
151,no checking account,10,existing credits paid back duly till now,radio/television,1924,<100 DM,1<= < 4 years,1,male:single,none,4,savings agreement/life insurance,38,none,own,1,skilled employee / official,1,yes,no,Good Risk
152,>= 200 DM ,36,existing credits paid back duly till now,radio/television,5848,<100 DM,1<= < 4 years,4,male:single,none,1,car or other,24,none,own,1,skilled employee / official,1,none,yes,Good Risk
153,0 <= <200 DM,24,critical account,car (used),7758,>= 1000 DM,>=7 years,2,female:divorced/separated/married,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,none,yes,Good Risk
154,0 <= <200 DM,24,delay in paying off,business,6967,100 <= <500 DM,4<= <7 years,4,male:single,none,4,car or other,36,none,rent,1,management/ highly qualified employee,1,yes,yes,Good Risk
155,<0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
156,<0 DM,9,critical account,repairs,1288,100 <= <500 DM,>=7 years,3,male:single,guarantor,4,real estate,48,none,own,2,skilled employee / official,2,none,no,Good Risk
157,<0 DM,12,all credits at this bank paid back duly,retraining,339,<100 DM,>=7 years,4,male:married/widowed,none,1,car or other,45,bank,own,1,unskilled - resident,1,none,yes,Good Risk
158,0 <= <200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= <500 DM,4<= <7 years,2,male:single,none,3,car or other,38,bank,own,2,skilled employee / official,1,yes,yes,Good Risk
159,no checking account,6,critical account,radio/television,1898,no savings account,1<= < 4 years,1,male:single,none,2,real estate,34,none,own,2,unskilled - resident,2,none,yes,Good Risk
160,no checking account,24,critical account,radio/television,2872,100 <= <500 DM,>=7 years,3,male:single,none,4,real estate,36,none,own,1,skilled employee / official,2,yes,yes,Good Risk
161,no checking account,18,critical account,car (new),1055,<100 DM,<1 years,4,female:divorced/separated/married,none,1,savings agreement/life insurance,30,none,own,2,skilled employee / official,1,none,yes,Good Risk
162,no checking account,15,existing credits paid back duly till now,domestic appliances,1262,500 <= < 1000 DM,4<= <7 years,4,male:single,none,3,savings agreement/life insurance,36,none,own,2,skilled employee / official,1,yes,yes,Good Risk
163,0 <= <200 DM,10,existing credits paid back duly till now,car (new),7308,<100 DM,unemployed,2,male:single,none,4,unknown / no property,70,bank,for free,1,management/ highly qualified employee,1,yes,yes,Good Risk
164,no checking account,36,existing credits paid back duly till now,car (new),909,500 <= < 1000 DM,>=7 years,4,male:single,none,4,savings agreement/life insurance,36,none,own,1,skilled employee / official,1,none,yes,Good Risk
165,no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,500 <= < 1000 DM,1<= < 4 years,1,male:single,none,2,car or other,32,none,own,1,skilled employee / official,1,yes,yes,Good Risk
166,<0 DM,18,existing credits paid back duly till now,furniture/equipment,1131,<100 DM,unemployed,4,female:divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee / official,1,none,yes,Bad Risk
167,0 <= <200 DM,11,existing credits paid back duly till now,furniture/equipment,1577,>= 1000 DM,<1 years,4,female:divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee / official,1,none,yes,Good Risk
168,no checking account,24,existing credits paid back duly till now,furniture/equipment,3972,<100 DM,4<= <7 years,2,female:divorced/separated/married,none,4,savings agreement/life insurance,25,none,rent,1,skilled employee / official,1,yes,yes,Good Risk
169,0 <= <200 DM,24,critical account,business,1935,<100 DM,>=7 years,4,male:divorced/separated,none,4,real estate,31,none,own,2,skilled employee / official,1,yes,yes,Bad Risk
170,<0 DM,15,no credits taken,car (new),950,<100 DM,>=7 years,4,male:single,none,3,car or other,33,none,rent,2,skilled employee / official,2,none,yes,Bad Risk
171,no checking account,12,existing credits paid back duly till now,furniture/equipment,763,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee / official,1,yes,yes,Good Risk
172,0 <= <200 DM,24,delay in paying off,furniture/equipment,2064,<100 DM,unemployed,3,female:divorced/separated/married,none,2,savings agreement/life insurance,34,none,own,1,management/ highly qualified employee,1,yes,yes,Bad Risk
173,0 <= <200 DM,8,existing credits paid back duly till now,radio/television,1414,<100 DM,1<= < 4 years,4,male:single,guarantor,2,real estate,33,none,own,1,skilled employee / official,1,none,no,Good Risk
174,<0 DM,21,delay in paying off,education,3414,<100 DM,<1 years,2,male:single,none,1,savings agreement/life insurance,26,none,own,2,skilled employee / official,1,none,yes,Bad Risk
175,no checking account,30,all credits at this bank paid back duly,car (used),7485,no savings account,unemployed,4,female:divorced/separated/married,none,1,real estate,53,bank,own,1,management/ highly qualified employee,1,yes,yes,Bad Risk
176,<0 DM,12,existing credits paid back duly till now,furniture/equipment,2577,<100 DM,1<= < 4 years,2,male:divorced/separated,none,1,car or other,42,none,own,1,skilled employee / official,1,none,yes,Good Risk
177,<0 DM,6,critical account,radio/television,338,500 <= < 1000 DM,>=7 years,4,male:single,none,4,car or other,52,none,own,2,skilled employee / official,1,none,yes,Good Risk
178,no checking account,12,existing credits paid back duly till now,radio/television,1963,<100 DM,4<= <7 years,4,male:single,none,2,car or other,31,none,rent,2,management/ highly qualified employee,2,yes,yes,Good Risk
179,<0 DM,21,critical account,car (new),571,<100 DM,>=7 years,4,male:single,none,4,real estate,65,none,own,2,skilled employee / official,1,none,yes,Good Risk
180,no checking account,36,delay in paying off,business,9572,<100 DM,<1 years,1,male:divorced/separated,none,1,car or other,28,none,own,2,skilled employee / official,1,none,yes,Bad Risk
181,0 <= <200 DM,36,delay in paying off,business,4455,<100 DM,1<= < 4 years,2,male:divorced/separated,none,2,real estate,30,store,own,2,management/ highly qualified employee,1,yes,yes,Bad Risk
182,<0 DM,21,all credits at this bank paid back duly,car (new),1647,no savings account,1<= < 4 years,4,male:single,none,2,savings agreement/life insurance,40,none,own,2,unskilled - resident,2,none,yes,Bad Risk
183,no checking account,24,critical account,furniture/equipment,3777,>= 1000 DM,1<= < 4 years,4,male:single,none,4,real estate,50,none,own,1,skilled employee / official,1,yes,yes,Good Risk
184,0 <= <200 DM,18,critical account,car (new),884,<100 DM,>=7 years,4,male:single,none,4,car or other,36,bank,own,1,skilled employee / official,2,yes,yes,Bad Risk
185,no checking account,15,critical account,radio/television,1360,<100 DM,1<= < 4 years,4,male:single,none,2,savings agreement/life insurance,31,none,own,2,skilled employee / official,1,none,yes,Good Risk
186,0 <= <200 DM,9,all credits at this bank paid back duly,car (used),5129,<100 DM,>=7 years,2,female:divorced/separated/married,none,4,unknown / no property,74,bank,for free,1,management/ highly qualified employee,2,yes,yes,Bad Risk
187,0 <= <200 DM,16,critical account,car (new),1175,<100 DM,unemployed,2,male:single,none,3,car or other,68,none,for free,3,unemployed/ unskilled  - non-resident,1,yes,yes,Good Risk
188,<0 DM,12,existing credits paid back duly till now,radio/television,674,100 <= <500 DM,4<= <7 years,4,male:married/widowed,none,1,savings agreement/life insurance,20,none,own,1,skilled employee / official,1,none,yes,Bad Risk
189,0 <= <200 DM,18,no credits taken,furniture/equipment,3244,<100 DM,1<= < 4 years,1,female:divorced/separated/married,none,4,car or other,33,bank,own,2,skilled employee / official,1,yes,yes,Good Risk
190,no checking account,24,existing credits paid back duly till now,business,4591,>= 1000 DM,1<= < 4 years,2,male:single,none,3,savings agreement/life insurance,54,none,own,3,management/ highly qualified employee,1,yes,yes,Bad Risk
191,0 <= <200 DM,48,no credits taken,business,3844,100 <= <500 DM,4<= <7 years,4,male:single,none,4,unknown / no property,34,none,for free,1,unskilled - resident,2,none,yes,Bad Risk
192,0 <= <200 DM,27,existing credits paid back duly till now,business,3915,<100 DM,1<= < 4 years,4,male:single,none,2,car or other,36,none,own,1,skilled employee / official,2,yes,yes,Bad Risk
193,no checking account,6,existing credits paid back duly till now,radio/television,2108,<100 DM,4<= <7 years,2,male:married/widowed,none,2,real estate,29,none,rent,1,skilled employee / official,1,none,yes,Good Risk
194,0 <= <200 DM,45,existing credits paid back duly till now,radio/television,3031,100 <= <500 DM,1<= < 4 years,4,male:single,guarantor,4,savings agreement/life insurance,21,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
195,0 <= <200 DM,9,critical account,education,1501,<100 DM,>=7 years,2,female:divorced/separated/married,none,3,car or other,34,none,own,2,management/ highly qualified employee,1,yes,yes,Bad Risk
196,no checking account,6,critical account,radio/television,1382,<100 DM,1<= < 4 years,1,female:divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee / official,1,yes,yes,Good Risk
197,0 <= <200 DM,12,existing credits paid back duly till now,furniture/equipment,951,100 <= <500 DM,<1 years,4,female:divorced/separated/married,none,4,car or other,27,bank,rent,4,skilled employee / official,1,none,yes,Bad Risk
198,0 <= <200 DM,24,existing credits paid back duly till now,car (used),2760,no savings account,>=7 years,4,male:single,none,4,unknown / no property,36,bank,for free,1,skilled employee / official,1,yes,yes,Good Risk
199,0 <= <200 DM,18,delay in paying off,furniture/equipment,4297,<100 DM,>=7 years,4,male:divorced/separated,none,3,unknown / no property,40,none,own,1,management/ highly qualified employee,1,yes,yes,Bad Risk
200,no checking account,9,critical account,education,936,500 <= < 1000 DM,>=7 years,4,male:single,none,2,car or other,52,none,own,2,skilled employee / official,1,yes,yes,Good Risk
201,<0 DM,12,existing credits paid back duly till now,car (new),1168,<100 DM,1<= < 4 years,4,male:married/widowed,none,3,real estate,27,none,own,1,unskilled - resident,1,none,yes,Good Risk
202,no checking account,27,delay in paying off,business,5117,<100 DM,4<= <7 years,3,male:single,none,4,car or other,26,none,own,2,skilled employee / official,1,none,yes,Good Risk
203,<0 DM,12,existing credits paid back duly till now,retraining,902,<100 DM,4<= <7 years,4,male:married/widowed,none,4,savings agreement/life insurance,21,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
204,no checking account,12,critical account,car (new),1495,<100 DM,>=7 years,4,male:single,none,1,real estate,38,none,own,2,unskilled - resident,2,none,yes,Good Risk
205,<0 DM,30,critical account,car (used),10623,<100 DM,>=7 years,3,male:single,none,4,unknown / no property,38,none,for free,3,management/ highly qualified employee,2,yes,yes,Good Risk
206,no checking account,12,critical account,furniture/equipment,1935,<100 DM,>=7 years,4,male:single,none,4,real estate,43,none,own,3,skilled employee / official,1,yes,yes,Good Risk
207,0 <= <200 DM,12,critical account,domestic appliances,1424,<100 DM,4<= <7 years,4,male:single,none,3,savings agreement/life insurance,26,none,own,1,skilled employee / official,1,none,yes,Good Risk
208,<0 DM,24,existing credits paid back duly till now,business,6568,<100 DM,1<= < 4 years,2,male:married/widowed,none,2,car or other,21,store,own,1,unskilled - resident,1,none,yes,Good Risk
209,no checking account,12,existing credits paid back duly till now,car (used),1413,>= 1000 DM,4<= <7 years,3,male:single,none,2,savings agreement/life insurance,55,none,own,1,skilled employee / official,1,none,no,Good Risk
210,no checking account,9,critical account,radio/television,3074,no savings account,1<= < 4 years,1,male:single,none,2,real estate,33,none,own,2,skilled employee / official,2,none,yes,Good Risk
211,no checking account,36,existing credits paid back duly till now,radio/television,3835,no savings account,>=7 years,2,female:divorced/separated/married,none,4,real estate,45,none,own,1,unskilled - resident,1,yes,yes,Good Risk
212,<0 DM,27,no credits taken,business,5293,<100 DM,unemployed,2,male:single,none,4,savings agreement/life insurance,50,store,own,2,skilled employee / official,1,yes,yes,Bad Risk
213,>= 200 DM ,30,delay in paying off,business,1908,<100 DM,>=7 years,4,male:single,none,4,real estate,66,none,own,1,management/ highly qualified employee,1,yes,yes,Bad Risk
214,no checking account,36,critical account,radio/television,3342,no savings account,>=7 years,4,male:single,none,2,car or other,51,none,own,1,skilled employee / official,1,yes,yes,Good Risk
215,0 <= <200 DM,6,critical account,retraining,932,no savings account,4<= <7 years,1,female:divorced/separated/married,none,3,savings agreement/life insurance,39,none,own,2,unskilled - resident,1,none,yes,Good Risk
216,<0 DM,18,no credits taken,business,3104,<100 DM,4<= <7 years,3,male:single,none,1,savings agreement/life insurance,31,bank,own,1,skilled employee / official,1,yes,yes,Good Risk
217,>= 200 DM ,36,existing credits paid back duly till now,radio/television,3913,<100 DM,1<= < 4 years,2,male:single,none,2,real estate,23,none,own,1,skilled employee / official,1,yes,yes,Good Risk
218,<0 DM,24,existing credits paid back duly till now,furniture/equipment,3021,<100 DM,1<= < 4 years,2,male:divorced/separated,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,Good Risk
219,no checking account,10,existing credits paid back duly till now,car (new),1364,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,4,car or other,64,none,own,1,skilled employee / official,1,yes,yes,Good Risk
